word,count
The,82140
the,37592
of,37333
and,13394
(2002),11470
(2006),10915
(2001),10878
(2007),10508
(2000),10471
(2009),10434
(2003),10323
(2004),10323
(2014),10286
(1996),10212
in,10175
(2015),10138
(2005),10101
(2008),9953
(1999),9731
(1997),9620
(1995),9583
(1998),9546
(2011),9398
(2010),9139
(2013),8843
(1994),8769
A,8658
(2012),8621
(2016),8066
to,7733
(1993),7326
a,6808
(1992),6179
(1988),6105
(1987),5661
(2017),5439
(1991),5439
(1990),5439
(1989),5254
(1986),5143
Man,4810
(1985),4662
&,4514
2,4144
on,3959
(1984),3737
(a.k.a.,3626
My,3552
Love,3404
(1981),3404
for,3330
(1980),3293
(1982),3219
I,3182
(1983),3071
Night,2738
You,2664
Last,2664
Movie,2627
Life,2590
(1979),2553
with,2516
Me,2479
de,2405
Story,2368
(1977),2331
Dead,2257
It,2257
(1978),2183
(1973),2183
Little,2109
no,2072
from,2035
Big,2035
II,1998
In,1961
Day,1961
American,1961
All,1924
at,1850
-,1813
2:,1813
New,1813
Death,1739
(1971),1739
(1965),1739
Time,1739
Girl,1702
House,1665
(1974),1665
Part,1665
(1976),1628
Days,1628
Black,1628
Is,1628
World,1591
(1964),1591
Christmas,1591
(1975),1554
(1968),1554
(1966),1554
(1967),1554
3,1517
Mr.,1517
(2018),1517
(1962),1480
Dragon,1480
Men,1480
Dark,1480
Red,1480
(1963),1443
High,1443
The),1443
"Man,",1443
Blue,1443
(1972),1443
King,1406
White,1406
City,1406
(1959),1369
(1960),1369
II:,1332
(1955),1332
Lost,1332
Two,1332
Star,1332
An,1332
(1969),1295
We,1295
(1961),1258
La),1258
Adventures,1258
(La,1221
Who,1221
(1970),1221
Out,1221
(1957),1221
One,1184
Great,1184
Up,1184
Blood,1184
That,1184
by,1147
Your,1147
Wild,1147
First,1147
About,1147
Bad,1147
(1958),1147
Return,1147
No,1147
Legend,1147
Secret,1147
Final,1110
(1953),1110
War,1110
(1956),1110
Three,1110
Boy,1073
Le),1073
Dr.,1036
Good,1036
Are,1036
Ghost,999
Down,999
Woman,962
What,962
For,962
(1940),925
Street,925
III,925
Earth,925
Like,925
(1949),925
Back,925
Be,925
Heart,925
Best,925
From,925
Get,925
Live,925
la,925
Game,888
People,888
Planet,888
Home,851
(1939),851
(1942),851
Girls,851
How,851
(1954),851
et,851
(1946),851
(1951),814
Way,814
To,814
Doctor,814
Children,814
On,777
Kill,777
(1950),777
Green,777
Next,777
End,777
di,777
Fire,777
Go,777
Year,740
Road,740
